customer_id,signup_date,age,region,plan,monthly_fee,tenure_months,avg_weekly_hours,num_profiles,devices,support_tickets,last_login_days,monthly_spend,payment_method,auto_renew,satisfaction,churned
CU802572,2024-06-07,22,North,Basic,8.99,6,7.3,2,4,1,10,8.99,card,1,5.0,0
CU800474,2024-08-22,27,South,Standard,14.99,11,5.3,4,5,0,0,14.99,giftcard,0,5.0,0
CU800858,2025-04-22,32,North,Basic,8.99,33,5.5,2,3,1,32,12.49,card,1,4.0,0
CU801432,2023-02-22,34,East,Basic,8.99,5,1.1,2,4,1,3,8.99,card,1,3.0,0
CU802347,2025-02-06,51,South,Basic,8.99,5,12.2,5,1,1,1,12.49,applepay,1,3.0,0
CU801429,2024-01-04,36,North,Basic,8.99,21,13.8,3,3,0,31,8.99,applepay,1,3.0,0
CU802010,2022-11-10,24,South,Basic,8.99,8,3.7,1,3,0,4,8.99,card,0,2.0,0
CU800191,2025-02-21,36,South,Premium,19.99,17,2.7,4,4,2,2,19.99,card,1,,0
CU801972,2023-05-20,44,South,Basic,8.99,9,11.7,4,2,2,12,8.99,applepay,0,5.0,0
CU802280,2024-01-23,24,South,Basic,8.99,20,0.2,1,4,1,10,12.49,card,1,3.0,1
CU802396,2022-05-31,72,East,Basic,8.99,18,1.2,4,2,1,26,8.99,applepay,0,5.0,1
CU802005,2024-05-17,16,North,Premium,19.99,25,12.1,1,1,0,13,19.99,card,1,3.0,1
CU802446,2022-10-24,20,North,Basic,8.99,14,4.4,2,1,2,8,8.99,card,1,3.0,0
CU800392,2022-12-12,26,West,Standard,14.99,3,4.5,3,3,0,2,18.49,card,1,3.0,0
CU801640,2023-08-23,27,West,Standard,14.99,29,6.7,3,2,1,0,14.99,card,1,4.0,0
CU800909,2022-08-15,39,East,Standard,14.99,5,2.0,4,2,0,4,14.99,giftcard,0,4.0,0
CU800153,2022-01-06,48,West,Basic,8.99,10,11.1,3,6,1,6,8.99,applepay,1,2.0,0
CU801873,2023-04-30,40,East,Basic,8.99,37,16.3,3,5,2,9,8.99,card,0,1.0,0
CU801418,2025-04-29,50,West,Basic,8.99,31,9.7,1,6,0,14,12.49,card,1,1.0,0
CU800533,2024-06-22,52,West,Standard,14.99,3,6.8,1,3,0,1,14.99,paypal,1,4.0,0
CU801996,2024-08-03,37,west,Basic,8.99,10,4.5,2,4,0,15,8.99,card,1,4.0,0
CU801404,2024-09-18,50,North,Standard,14.99,4,11.1,2,2,0,22,14.99,paypal,0,4.0,1
CU800988,2023-01-11,49,North,Premium,19.99,19,11.5,1,3,0,43,23.49,card,1,5.0,0
CU800923,2024-07-16,41,West,Premium,19.99,9,,1,4,2,13,19.99,card,1,2.0,0
