applicant_id,age,annual_income,employment_years,loan_amount,loan_term_months,credit_score,debt_to_income,num_prior_defaults,home_ownership,loan_purpose,defaulted
A300002,63,65400.0,4.2,6400,36,588.0,0.238,0,RENT,home_improvement,0
A300744,66,67700.0,15.3,60000,36,705.0,0.3,0,OWN,major_purchase,0
A300082,67,120300.0,3.9,11900,36,677.0,0.277,0,MORTGAGE,home_improvement,0
A301286,49,38200.0,10.0,5400,36,587.0,0.36,1,OWN,debt_consolidation,1
A301398,30,70400.0,15.3,12500,24,651.0,0.209,0,MORTGAGE,major_purchase,0
A301356,38,61000.0,2.9,20500,24,628.0,0.179,0,RENT,debt_consolidation,1
A300677,49,50700.0,2.4,41100,24,628.0,0.069,0,MORTGAGE,medical,0
A300662,43,64100.0,5.3,5800,24,622.0,0.293,0,MORTGAGE,debt_consolidation,0
A300938,57,94600.0,5.0,5400,48,673.0,0.302,3,OWN,debt_consolidation,0
A300971,23,126200.0,2.8,20600,12,716.0,0.575,0,MORTGAGE,debt_consolidation,1
A301210,29,141000.0,11.3,13200,36,717.0,0.297,0,RENT,major_purchase,0
A300788,48,52800.0,11.7,12700,36,658.0,0.389,0,MORTGAGE,home_improvement,0
A301502,37,113200.0,4.7,16600,24,486.0,0.339,0,RENT,debt_consolidation,0
A300425,27,52400.0,1.8,19900,36,668.0,0.301,0,RENT,debt_consolidation,1
A300056,66,88200.0,0.8,14800,24,682.0,0.28,1,MORTGAGE,major_purchase,1
A301363,64,85000.0,2.8,7300,24,696.0,0.36,0,OWN,home_improvement,0
A301025,26,171100.0,4.8,11900,60,664.0,0.434,0,MORTGAGE,debt_consolidation,0
A300036,58,147700.0,7.2,16000,36,513.0,0.215,0,OWN,home_improvement,0
A300220,58,59800.0,13.2,17400,48,529.0,0.524,0,RENT,home_improvement,1
A300454,69,83200.0,3.5,7100,48,641.0,0.306,0,mortgage,debt_consolidation,0
A301409,63,62900.0,3.8,10800,36,805.0,0.077,0,OWN,debt_consolidation,0
A301512,62,136700.0,4.1,11500,36,617.0,0.388,0,RENT,debt_consolidation,1
A300952,48,42700.0,6.1,17500,12,733.0,0.1,1,RENT,debt_consolidation,0
A300292,48,32400.0,3.9,10200,36,795.0,0.137,0,OWN,other,0
A301555,38,55400.0,5.0,13100,24,738.0,0.271,0,RENT,medical,0
A300713,65,65100.0,4.1,10100,36,653.0,0.292,0,MORTGAGE,home_improvement,0
A300293,43,53400.0,6.0,53200,12,709.0,0.219,2,RENT,home_improvement,1
A300773,28,83100.0,17.0,8200,36,713.0,0.272,3,RENT,medical,1
A300881,38,26100.0,10.0,13300,24,731.0,0.207,0,RENT,debt_consolidation,0
A300771,57,97300.0,10.3,12800,36,759.0,0.27,0,OWN,debt_consolidation,0
A301145,39,66700.0,12.2,17600,36,730.0,0.26,0,OWN,debt_consolidation,0
A301545,55,145600.0,9.5,8700,12,653.0,0.257,0,MORTGAGE,debt_consolidation,0
A300473,51,54800.0,22.7,16400,24,638.0,0.333,0,OWN,debt_consolidation,0
A300821,41,66600.0,0.8,22700,36,620.0,0.254,0,RENT,debt_consolidation,0
